Наука и техника	Спорт	Культура и искусство	Экономика	Новости и СМИ	Политика	Общество
0.81	2.24	
8,48	3,35	5,32
8.75	3.47	11.91	9.54
14.59	4.53	15.66	14.54	30.63
15.92	5.80	17.62	19.32	35.05	18.87
17.11	6.97	19.82	22.58	39.45	27.63	42.28
